2026-03-10 12:39 - CPU_TEMP [Min:43.0 Max:45.8] | CPU_USAGE [Min:36.7 Max:43.2] | RAM_USAGE [Min:24.4 Max:28.9] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.1]
2026-03-10 12:40 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:36.4 Max:49.5] | RAM_USAGE [Min:24.5 Max:27.5] | GPU_USAGE [Min:2.7 Max:4.0] | NPU_USAGE [Min:18.4 Max:20.2]
2026-03-10 12:41 - CPU_TEMP [Min:43.0 Max:45.8] | CPU_USAGE [Min:36.6 Max:44.6] | RAM_USAGE [Min:24.4 Max:28.1] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.6 Max:20.3]
2026-03-10 12:42 - CPU_TEMP [Min:43.0 Max:45.8] | CPU_USAGE [Min:36.3 Max:43.5] | RAM_USAGE [Min:24.4 Max:26.8] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.8]
2026-03-10 12:43 - CPU_TEMP [Min:43.0 Max:45.8] | CPU_USAGE [Min:36.7 Max:45.2] | RAM_USAGE [Min:24.4 Max:27.8] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.6]
2026-03-10 12:44 - CPU_TEMP [Min:43.0 Max:45.2] | CPU_USAGE [Min:36.4 Max:47.5] | RAM_USAGE [Min:24.4 Max:27.9] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 12:45 - CPU_TEMP [Min:43.0 Max:45.8] | CPU_USAGE [Min:37.0 Max:43.4] | RAM_USAGE [Min:24.4 Max:27.5] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 12:46 - CPU_TEMP [Min:42.5 Max:45.8] | CPU_USAGE [Min:37.0 Max:44.4] | RAM_USAGE [Min:24.2 Max:27.8] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 12:47 - CPU_TEMP [Min:43.5 Max:45.8] | CPU_USAGE [Min:36.7 Max:48.9] | RAM_USAGE [Min:24.3 Max:27.2] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.1]
2026-03-10 12:48 - CPU_TEMP [Min:43.0 Max:45.8] | CPU_USAGE [Min:36.2 Max:43.9] | RAM_USAGE [Min:24.4 Max:27.8] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:19.1 Max:20.0]
2026-03-10 12:49 - CPU_TEMP [Min:43.0 Max:45.8] | CPU_USAGE [Min:36.5 Max:47.2] | RAM_USAGE [Min:24.2 Max:27.5] | GPU_USAGE [Min:2.0 Max:4.0] | NPU_USAGE [Min:18.3 Max:20.0]
